;Nummer;K¸rzel;Langname;Kurzname;Online-Info Haltestelle;Externe Online-Info Haltestelle;Anz. Pos.;Ansage-Nr.;Linien-Darst.;Funkgest¸tzt;÷ffne Verweis;X-Koord;Y-Koord;Globale Haltestellen-Kennung
1;80002;880B;880 Burgweinting           an;880 Burgweinting           an;;;1;0;;X;;0;0;de:09362:880
2;35;AbzRos;Abzw. Rosenhof;Abzw. Rosenhof;;;2;0;;;;0;0;de:09375:35
3;15012;ADLE;Josef-Adler-Straﬂe;Josef-Adler-Straﬂe;;;2;210;X;;;0;0;de:09362:15012
4;11041;AKORN;Alter Kornmarkt;Alter Kornmarkt;;;2;608;X;;;0;0;de:09362:11041
5;14057;AMBA;Leoprechting Am Bach;Leoprechting Am Bach;;;1;182;X;;;0;0;de:09362:14057
6;12051;AMBE;Amberger Straﬂe;Amberger Straﬂe;;;4;474;X;;;0;0;de:09362:12051
7;15001;AMG;Albertus-Magnus-Gymnasium;Albertus-Magnus-Gymnasium;;;2;293;X;;;0;0;de:09362:15001
8;15003;ANNA;Annahofstraﬂe;Annahofstraﬂe;;;1;13;X;;;0;0;de:09362:15003
9;14073;ANTO;Antoniuskirche;Antoniuskirche;;;3;69;X;;;0;0;de:09362:14073
10;11010;APLZ;Arnulfsplatz;Arnulfsplatz;X;;5;17;X;;;0;0;de:09362:11010
11;11001;ARAT;Altes Rathaus;Altes Rathaus;;;1;270;X;;;0;0;de:09362:11001
12;12003;ARDE;Ardennenstraﬂe;Ardennenstraﬂe;;;2;14;X;;;0;0;de:09362:12003
13;10296;AREN;Donau-Arena;Donau-Arena;;;2;262;X;;;0;0;de:09362:10296
14;12004;ARGO;Argonnenstraﬂe;Argonnenstraﬂe;;;1;15;X;;;0;0;de:09362:12004
15;592;ASAM;Asamstraﬂe;Asamstraﬂe;;;3;113;X;;;0;0;de:09362:592
16;16015;ASCH;Aschenauer Straﬂe;Aschenauer Straﬂe;;;2;358;X;;;0;0;de:09362:16015
17;14001;AUER;Alfons-Auer-Straﬂe;Alfons-Auer-Straﬂe;;;4;4;X;;;0;0;de:09362:14001
18;14006;AUGS;Augsburger Straﬂe;Augsburger Straﬂe;X;;2;3;X;;;0;0;de:09362:14006
19;12005;AUSS;Aussiger Straﬂe;Aussiger Straﬂe;;;4;18;X;;;0;0;de:09362:12005
