date,dow,iso_week,category,event_name,notes,source_year
2023-01-01,So,52,holiday_public,Neujahr,,2023
2023-01-06,Fr,1,holiday_public,Heilige Drei Könige,,2023
2023-02-20,Mo,8,carnival,Rosenmontag,,2023
2023-03-26,So,12,sommerzeit_start,Beginn der Sommerzeit,clocks +1h at 02:00,2023
2023-04-07,Fr,14,holiday_public,Karfreitag,,2023
2023-04-09,So,14,holiday_religious,Ostersonntag,,2023
2023-04-10,Mo,15,holiday_public,Ostermontag,,2023
2023-04-11,Di,15,v_frei,V-Frei (post-Ostern),lecture-free Tuesday inside lecture period,2023
2023-04-28,Fr,17,festival_other,Landesturnfest start,2023-04-28 to 2023-05-01 — one-off mega event,2023
2023-05-01,Mo,18,holiday_public,Tag der Arbeit,Landesturnfest end coincides,2023
2023-05-12,Fr,19,festival_dult,Mai-Dult start,2023-05-12 to 2023-05-29,2023
2023-05-14,So,19,holiday_observance,Muttertag,,2023
2023-05-18,Do,20,holiday_public,Christi Himmelfahrt,,2023
2023-05-21,So,20,marathon,Regensburg Marathon,,2023
2023-05-28,So,21,holiday_religious,Pfingstsonntag,,2023
2023-05-29,Mo,22,holiday_public,Pfingstmontag,Mai-Dult ends same day,2023
2023-05-30,Di,22,v_frei,V-Frei (post-Pfingsten),,2023
2023-06-08,Do,23,holiday_public,Fronleichnam,,2023
2023-06-16,Fr,24,festival_buergerfest,Bürgerfest start,2023-06-16 to 2023-06-18,2023
2023-06-18,So,24,festival_buergerfest,Bürgerfest end,,2023
2023-07-30,So,30,v_frei,V-Frei,marked on calendar — Uni already in semester break,2023
2023-08-15,Di,33,holiday_public,Mariä Himmelfahrt,,2023
2023-08-25,Fr,34,festival_dult,Herbst-Dult start,2023-08-25 to 2023-09-10 (footer typo says 2022),2023
2023-09-10,So,36,festival_dult,Herbst-Dult end,,2023
2023-09-11,Mo,37,reinforcement_x1,X1 Berufsschulen Verstärkung,Berufsschule restart — extra runs,2023
2023-10-02,Mo,40,modul,Modul (voraussichtlich),marked with "?" — tentative,2023
2023-10-03,Di,40,holiday_public,Tag der Deutschen Einheit,,2023
2023-10-29,So,43,sommerzeit_end,Ende der Sommerzeit,clocks -1h at 03:00,2023
2023-10-31,Di,44,holiday_observance,Reformationstag,not a Bavarian public holiday — annotation only,2023
2023-11-01,Mi,44,holiday_public,Allerheiligen,,2023
2023-12-03,So,48,holiday_observance,1. Advent,,2023
2023-12-24,So,51,holiday_religious,Heiligabend,EMIL/Altstadtbus stop at 13:00 (Sunday-frequency day),2023
2023-12-25,Mo,52,holiday_public,1. Weihnachtstag,,2023
2023-12-26,Di,52,holiday_public,2. Weihnachtstag,,2023
2023-12-31,So,52,holiday_religious,Silvester,EMIL/Altstadtbus stop at 13:00 (Sunday-frequency day),2023
2024-01-01,Mo,1,holiday_public,Neujahr,,2024
2024-01-06,Sa,1,holiday_public,Heilige Drei Könige,,2024
2024-02-12,Mo,7,carnival,Rosenmontag,,2024
2024-02-13,Di,7,carnival,Faschingsdienstag,explicitly labeled in 2024 only,2024
2024-03-29,Fr,13,holiday_public,Karfreitag,,2024
