service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
00101,0,0,0,0,0,0,0,20230417,20261231
00101 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00102,0,0,0,0,0,0,0,20230417,20261231
00102 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00103 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00104,0,0,0,0,0,0,0,20230417,20261231
00104 Ferien,0,0,0,0,0,0,0,20230417,20261231
00104 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00105,0,0,0,0,0,0,0,20230417,20261231
00105 Ferien,0,0,0,0,0,0,0,20230417,20261231
00105 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00106 Ferien,0,0,0,0,0,0,0,20230417,20261231
00106 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00107,0,0,0,0,0,0,0,20230417,20261231
00107 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00108 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00109,0,0,0,0,0,0,0,20230417,20261231
00110,0,0,0,0,0,0,0,20230417,20261231
00112,0,0,0,0,0,0,0,20230417,20261231
00113,0,0,0,0,0,0,0,20230417,20261231
00116,0,0,0,0,0,0,0,20230417,20261231
00121 Ferien,0,0,0,0,0,0,0,20230417,20261231
00201,0,0,0,0,0,0,0,20230417,20261231
00201 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00201 SF/WF[2025-8-1],0,0,0,0,0,0,0,20230417,20261231
00201[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
00202 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00202 SF/WF[2025-8-1],0,0,0,0,0,0,0,20230417,20261231
00203,0,0,0,0,0,0,0,20230417,20261231
00203 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00203 SF/WF[2025-8-1],0,0,0,0,0,0,0,20230417,20261231
00203[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
00204 Ferien,0,0,0,0,0,0,0,20230417,20261231
00204 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00204 SF/WF[2025-8-1],0,0,0,0,0,0,0,20230417,20261231
00205,0,0,0,0,0,0,0,20230417,20261231
00205 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00205 SF/WF[2025-8-1],0,0,0,0,0,0,0,20230417,20261231
00205[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
00206,0,0,0,0,0,0,0,20230417,20261231
00206 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00206 SF/WF[2025-8-1],0,0,0,0,0,0,0,20230417,20261231
00206[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
00207,0,0,0,0,0,0,0,20230417,20261231
00207[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
00208,0,0,0,0,0,0,0,20230417,20261231
00208 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00208 SF/WF[2025-8-1],0,0,0,0,0,0,0,20230417,20261231
00208[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
00209,0,0,0,0,0,0,0,20230417,20261231
00209[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
00211 Ferien,0,0,0,0,0,0,0,20230417,20261231
00212 Ferien,0,0,0,0,0,0,0,20230417,20261231
00223,0,0,0,0,0,0,0,20230417,20261231
00223 (U-MD),0,0,0,0,0,0,0,20230417,20261231
00223 (nur C6),0,0,0,0,0,0,0,20230417,20261231
00223 Ferien,0,0,0,0,0,0,0,20230417,20261231
00223 MF,0,0,0,0,0,0,0,20230417,20261231
00223 MF[2025-7-28],0,0,0,0,0,0,0,20230417,20261231
00223[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
00230 MF,0,0,0,0,0,0,0,20230417,20261231
00230 MF[2025-7-28],0,0,0,0,0,0,0,20230417,20261231
00231,0,0,0,0,0,0,0,20230417,20261231
00231[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
00301 Ferien,0,0,0,0,0,0,0,20230417,20261231
00301 Ferien mit Eisl.,0,0,0,0,0,0,0,20230417,20261231
00301 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00301 SF/WF[2025-8-1],0,0,0,0,0,0,0,20230417,20261231
00301 mit Eisl.,0,0,0,0,0,0,0,20230417,20261231
00301 ohne Eisl.,0,0,0,0,0,0,0,20230417,20261231
00301 ohne Eisl. bis 31.07.25,0,0,0,0,0,0,0,20230417,20261231
00302,0,0,0,0,0,0,0,20230417,20261231
00302 DO SF/WF[2025-8-7],0,0,0,0,0,0,0,20230417,20261231
00302 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00302 SF/WF[2025-8-1],0,0,0,0,0,0,0,20230417,20261231
00302[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
00303 Ferien,0,0,0,0,0,0,0,20230417,20261231
00303 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00303 SF/WF[2025-8-1],0,0,0,0,0,0,0,20230417,20261231
00304 DO SF/WF[2025-8-7],0,0,0,0,0,0,0,20230417,20261231
00304 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00304 SF/WF[2025-8-1],0,0,0,0,0,0,0,20230417,20261231
00305 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00307 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00307 SF/WF[2025-8-1],0,0,0,0,0,0,0,20230417,20261231
00308,0,0,0,0,0,0,0,20230417,20261231
00308[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
00310 SF/WF,0,0,0,0,0,0,0,20230417,20261231
00310 SF/WF bis 15.09.25[2025-8-1],0,0,0,0,0,0,0,20230417,20261231
00311 (U-FR) mit Eisl.,0,0,0,0,0,0,0,20230417,20261231
00311 (U-FR)[2025-7-25],0,0,0,0,0,0,0,20230417,20261231
00311 (U-MD),0,0,0,0,0,0,0,20230417,20261231
00311 FR,0,0,0,0,0,0,0,20230417,20261231
00311 MD,0,0,0,0,0,0,0,20230417,20261231
00311 MD bis 30.07.25,0,0,0,0,0,0,0,20230417,20261231
00312 (U-FR),0,0,0,0,0,0,0,20230417,20261231
00312 (U-MD),0,0,0,0,0,0,0,20230417,20261231
